author,comment,likes,published_at,is_reply,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@AminRockers,Semoga di lindungi Allah ❤,0,2024-08-14T02:50:06Z,FALSE,semoga di lindungi allah,semoga di lindungi allah ❤,semoga lindungi allah ❤,"['semoga', 'lindungi', 'allah', '❤']","['semoga', 'lindungi', 'allah', '❤']",moga lindung allah,3
@murnihati4161,☝️,0,2023-12-18T02:36:05Z,FALSE,,☝️,☝️,['☝️'],['☝️'],,2
@wongmendhem390,"Megathrust kek, megaloman kek.... Kalau Allah SWT blm berkehendak gak akan jadi",0,2022-12-04T12:41:50Z,FALSE,megathrust kek megaloman kek kalau allah swt blm berkehendak gak akan jadi,"megathrust seperti , megaloman seperti .... kalau allah swt belum berkehendak tidak akan jadi","megathrust , megaloman .... allah swt","['megathrust', ',', 'megaloman', '....', 'allah', 'swt']","['megathrust', ',', 'megaloman', '....', 'allah', 'swt']",megathrust  megaloman  allah swt,3
@ForYourPage00,BMKG sudah melakukan tugasnya yaitu mmberi peringatan. Selebihnya trgantung kehendak Tuhan dn sifat manusianya lagi,0,2022-11-26T16:13:10Z,FALSE,bmkg sudah melakukan tugasnya yaitu mmberi peringatan selebihnya trgantung kehendak tuhan dn sifat manusianya lagi,bmkg sudah melakukan tugasnya yaitu mmberi peringatan . selebihnya trgantung kehendak tuhan dan sifat manusianya lagi,bmkg tugasnya mmberi peringatan . selebihnya trgantung kehendak tuhan sifat manusianya,"['bmkg', 'tugasnya', 'mmberi', 'peringatan', '.', 'selebihnya', 'trgantung', 'kehendak', 'tuhan', 'sifat', 'manusianya']","['bmkg', 'tugasnya', 'mmberi', 'peringatan', '.', 'selebihnya', 'trgantung', 'kehendak', 'tuhan', 'sifat', 'manusianya']",bmkg tugas mmberi ingat  lebih trgantung hendak tuhan sifat manusia,3
@risasyafa8281,Tangerang engga kan?,0,2022-11-23T14:33:40Z,FALSE,tangerang engga kan,tangerang tidak akan ?,tangerang ?,"['tangerang', '?']","['tangerang', '?']",tangerang,2
@Ramuh101,"engga, palingan kena getaran kecil gempanya doang",0,2022-11-25T04:50:37Z,TRUE,engga palingan kena getaran kecil gempanya doang,"tidak , palingan kena getaran kecil gempanya saja",", palingan kena getaran gempanya","[',', 'palingan', 'kena', 'getaran', 'gempanya']","[',', 'palingan', 'kena', 'getaran', 'gempanya']",paling kena getar gempa,2
@mataharimatahati,Kini sudah terjadi di Cianjur... Semoga tidak ada bencana Susulan.  Amin.,0,2022-11-23T08:43:09Z,FALSE,kini sudah terjadi di cianjur semoga tidak ada bencana susulan amin,kini sudah terjadi di cianjur ... semoga tidak ada bencana susulan . amin .,cianjur ... semoga bencana susulan . amin .,"['cianjur', '...', 'semoga', 'bencana', 'susulan', '.', 'amin', '.']","['cianjur', '...', 'semoga', 'bencana', 'susulan', '.', 'amin', '.']",cianjur  moga bencana susul  amin,3
@marvinapin5252,Amin.semoga trjdi.,0,2022-11-09T05:37:39Z,FALSE,aminsemoga trjdi,amin.semoga trjdi .,amin.semoga trjdi .,"['amin.semoga', 'trjdi', '.']","['amin.semoga', 'trjdi', '.']",amin moga trjdi,3
@wibowopr952,"bersiaplah saudara2 se-nusantara, semesta sedang ingin &quot;berkomunikasi&quot; dengan kita, para penghuninya, <i>eling lan waspodo</i> 🙏☺️",0,2022-08-26T07:19:52Z,FALSE,bersiaplah saudara2 senusantara semesta sedang ingin quotberkomunikasiquot dengan kita para penghuninya ieling lan waspodoi,"bersiaplah saudara2 se-nusantara , semesta sedang ingin dan quot ; berkomunikasi dan quot ; dengan kita , para penghuninya , < i > eling lan waspodo < /i > 🙏☺️","bersiaplah saudara2 se-nusantara , semesta quot ; berkomunikasi quot ; , penghuninya , < i > eling lan waspodo < /i > 🙏☺️","['bersiaplah', 'saudara2', 'se-nusantara', ',', 'semesta', 'quot', ';', 'berkomunikasi', 'quot', ';', ',', 'penghuninya', ',', '<', 'i', '>', 'eling', 'lan', 'waspodo', '<', '/i', '>', '🙏☺️']","['bersiaplah', 'saudara2', 'se-nusantara', ',', 'semesta', 'quot', ';', 'berkomunikasi', 'quot', ';', ',', 'penghuninya', ',', '<', 'i', '>', 'eling', 'lan', 'waspodo', '<', '/i', '>', '🙏☺️']",siap saudara2 se-nusantara  semesta quot  komunikasi quot   hun   i  eling lan waspodo  i,3
@solehsolehsoleh1716,semoga tidak terjadi apa,0,2022-07-01T13:31:07Z,FALSE,semoga tidak terjadi apa,semoga tidak terjadi apa,semoga,['semoga'],['semoga'],moga,3
@maingame570,Yang ada sih potensi 3 periode.,0,2022-04-11T15:14:08Z,FALSE,yang ada sih potensi 3 periode,yang ada sih potensi 3 periode .,sih potensi 3 periode .,"['sih', 'potensi', '3', 'periode', '.']","['sih', 'potensi', '3', 'periode', '.']",sih potensi 3 periode,2
@yuliaashari951,Jawa nya jawa mana timur tengah barat ??,0,2022-03-24T23:25:36Z,FALSE,jawa nya jawa mana timur tengah barat,jawa nya jawa mana timur tengah barat ? ?,jawa nya jawa timur barat ? ?,"['jawa', 'nya', 'jawa', 'timur', 'barat', '?', '?']","['jawa', 'nya', 'jawa', 'timur', 'barat', '?', '?']",jawa nya jawa timur barat,2
@srinoviyantisihombing1301,"Aslik, aku tuh sedih, para Pemkot atau daerah tidak ada siaga untuk waspada potensi Gempa atau tsunami. ini ramalan secara scientific udah jelas, ramalan secara spiritual juga sudah, tapi kenapa belum ada yg bergerak, sedih aku tuh ngebayangin korban2 jiwa nantinya :(",0,2022-02-21T16:22:55Z,FALSE,aslik aku tuh sedih para pemkot atau daerah tidak ada siaga untuk waspada potensi gempa atau tsunami ini ramalan secara scientific udah jelas ramalan secara spiritual juga sudah tapi kenapa belum ada yg bergerak sedih aku tuh ngebayangin korban2 jiwa nantinya,"aslik , aku itu sedih , para pemerintah kota atau daerah tidak ada siaga untuk waspada potensi gempa atau tsunami . ini ramalan secara scientific sudah jelas , ramalan secara spiritual juga sudah , tapi kenapa belum ada yang bergerak , sedih aku itu ngebayangin korban2 jiwa nantinya : (","aslik , sedih , pemerintah kota daerah siaga waspada potensi gempa tsunami . ramalan scientific , ramalan spiritual , bergerak , sedih ngebayangin korban2 jiwa : (","['aslik', ',', 'sedih', ',', 'pemerintah', 'kota', 'daerah', 'siaga', 'waspada', 'potensi', 'gempa', 'tsunami', '.', 'ramalan', 'scientific', ',', 'ramalan', 'spiritual', ',', 'bergerak', ',', 'sedih', 'ngebayangin', 'korban2', 'jiwa', ':', '(']","['aslik', ',', 'sedih', ',', 'pemerintah', 'kota', 'daerah', 'siaga', 'waspada', 'potensi', 'gempa', 'tsunami', '.', 'ramalan', 'scientific', ',', 'ramalan', 'spiritual', ',', 'bergerak', ',', 'sedih', 'ngebayangin', 'korban2', 'jiwa', ':', '(']",aslik  sedih  perintah kota daerah siaga waspada potensi gempa tsunami  ramal scientific  ramal spiritual  gerak  sedih ngebayangin korban2 jiwa,1
