author,comment,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@AminRockers,Semoga di lindungi Allah ❤,semoga di lindungi allah,semoga di lindungi allah,semoga lindungi allah,"['semoga', 'lindungi', 'allah']","['semoga', 'lindungi', 'allah']",moga lindung allah,3
@murnihati4161,☝️,,,,[],[],,2
@wongmendhem390,"Megathrust kek, megaloman kek.... Kalau Allah SWT blm berkehendak gak akan jadi",megathrust kek megaloman kek kalau allah swt blm berkehendak gak akan jadi,megathrust seperti megaloman seperti kalau allah swt belum berkehendak tidak akan jadi,megathrust megaloman allah swt,"['megathrust', 'megaloman', 'allah', 'swt']","['megathrust', 'megaloman', 'allah', 'swt']",megathrust megaloman allah swt,3
@ForYourPage00,BMKG sudah melakukan tugasnya yaitu mmberi peringatan. Selebihnya trgantung kehendak Tuhan dn sifat manusianya lagi,bmkg sudah melakukan tugasnya yaitu mmberi peringatan selebihnya trgantung kehendak tuhan dn sifat manusianya lagi,bmkg sudah melakukan tugasnya yaitu mmberi peringatan selebihnya trgantung kehendak tuhan dan sifat manusianya lagi,bmkg tugasnya mmberi peringatan selebihnya trgantung kehendak tuhan sifat manusianya,"['bmkg', 'tugasnya', 'mmberi', 'peringatan', 'selebihnya', 'trgantung', 'kehendak', 'tuhan', 'sifat', 'manusianya']","['bmkg', 'tugasnya', 'mmberi', 'peringatan', 'selebihnya', 'trgantung', 'kehendak', 'tuhan', 'sifat', 'manusianya']",bmkg tugas mmberi ingat lebih trgantung hendak tuhan sifat manusia,3
@risasyafa8281,Tangerang engga kan?,tangerang engga kan,tangerang tidak akan,tangerang,['tangerang'],['tangerang'],tangerang,2
@Ramuh101,"engga, palingan kena getaran kecil gempanya doang",engga palingan kena getaran kecil gempanya doang,tidak palingan kena getaran kecil gempanya saja,palingan kena getaran gempanya,"['palingan', 'kena', 'getaran', 'gempanya']","['palingan', 'kena', 'getaran', 'gempanya']",paling kena getar gempa,2
@mataharimatahati,Kini sudah terjadi di Cianjur... Semoga tidak ada bencana Susulan.  Amin.,kini sudah terjadi di cianjur semoga tidak ada bencana susulan amin,kini sudah terjadi di cianjur semoga tidak ada bencana susulan amin,cianjur semoga bencana susulan amin,"['cianjur', 'semoga', 'bencana', 'susulan', 'amin']","['cianjur', 'semoga', 'bencana', 'susulan']",cianjur moga bencana susul,3
@marvinapin5252,Amin.semoga trjdi.,aminsemoga trjdi,aminsemoga trjdi,aminsemoga trjdi,"['aminsemoga', 'trjdi']","['aminsemoga', 'trjdi']",aminsemoga trjdi,3
@wibowopr952,"bersiaplah saudara2 se-nusantara, semesta sedang ingin &quot;berkomunikasi&quot; dengan kita, para penghuninya, <i>eling lan waspodo</i> 🙏☺️",bersiaplah saudara2 senusantara semesta sedang ingin quotberkomunikasiquot dengan kita para penghuninya ieling lan waspodoi,bersiaplah saudara2 senusantara semesta sedang ingin quotberkomunikasiquot dengan kita para penghuninya ieling lan waspodoi,bersiaplah saudara2 senusantara semesta quotberkomunikasiquot penghuninya ieling lan waspodoi,"['bersiaplah', 'saudara2', 'senusantara', 'semesta', 'quotberkomunikasiquot', 'penghuninya', 'ieling', 'lan', 'waspodoi']","['bersiaplah', 'saudara2', 'senusantara', 'semesta', 'quotberkomunikasiquot', 'penghuninya', 'ieling', 'waspodoi']",siap saudara2 nusantara semesta quotberkomunikasiquot hun ieling waspodoi,3
@solehsolehsoleh1716,semoga tidak terjadi apa,semoga tidak terjadi apa,semoga tidak terjadi apa,semoga,['semoga'],['semoga'],moga,3
@maingame570,Yang ada sih potensi 3 periode.,yang ada sih potensi 3 periode,yang ada sih potensi 3 periode,sih potensi 3 periode,"['sih', 'potensi', '3', 'periode']","['sih', 'potensi', '3', 'periode']",sih potensi 3 periode,2
@yuliaashari951,Jawa nya jawa mana timur tengah barat ??,jawa nya jawa mana timur tengah barat,jawa nya jawa mana timur tengah barat,jawa nya jawa timur barat,"['jawa', 'nya', 'jawa', 'timur', 'barat']","['jawa', 'nya', 'jawa', 'timur', 'barat']",jawa nya jawa timur barat,2
@srinoviyantisihombing1301,"Aslik, aku tuh sedih, para Pemkot atau daerah tidak ada siaga untuk waspada potensi Gempa atau tsunami. ini ramalan secara scientific udah jelas, ramalan secara spiritual juga sudah, tapi kenapa belum ada yg bergerak, sedih aku tuh ngebayangin korban2 jiwa nantinya :(",aslik aku tuh sedih para pemkot atau daerah tidak ada siaga untuk waspada potensi gempa atau tsunami ini ramalan secara scientific udah jelas ramalan secara spiritual juga sudah tapi kenapa belum ada yg bergerak sedih aku tuh ngebayangin korban2 jiwa nantinya,aslik aku itu sedih para pemerintah kota atau daerah tidak ada siaga untuk waspada potensi gempa atau tsunami ini ramalan secara scientific sudah jelas ramalan secara spiritual juga sudah tapi kenapa belum ada yang bergerak sedih aku itu ngebayangin korban2 jiwa nantinya,aslik sedih pemerintah kota daerah siaga waspada potensi gempa tsunami ramalan scientific ramalan spiritual bergerak sedih ngebayangin korban2 jiwa,"['aslik', 'sedih', 'pemerintah', 'kota', 'daerah', 'siaga', 'waspada', 'potensi', 'gempa', 'tsunami', 'ramalan', 'scientific', 'ramalan', 'spiritual', 'bergerak', 'sedih', 'ngebayangin', 'korban2', 'jiwa']","['aslik', 'sedih', 'pemerintah', 'kota', 'daerah', 'siaga', 'waspada', 'potensi', 'gempa', 'ramalan', 'ramalan', 'bergerak', 'sedih', 'ngebayangin', 'korban2', 'jiwa']",aslik sedih perintah kota daerah siaga waspada potensi gempa ramal ramal gerak sedih ngebayangin korban2 jiwa,1
@yangmuliamohammadbinsalman1839,DI PERSIAPKAN TEKNOLOGI NYA SUPAYA TERDETEKSI &quot; JANGAN SAMPAI KECOLONGAN 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣&quot;# BMKG # BMKG,di persiapkan teknologi nya supaya terdeteksi quot jangan sampai kecolongan quot bmkg bmkg,di persiapkan teknologi nya supaya terdeteksi quot jangan sampai kecolongan quot bmkg bmkg,persiapkan teknologi nya terdeteksi quot kecolongan quot bmkg bmkg,"['persiapkan', 'teknologi', 'nya', 'terdeteksi', 'quot', 'kecolongan', 'quot', 'bmkg', 'bmkg']","['persiapkan', 'teknologi', 'nya', 'terdeteksi', 'kecolongan', 'bmkg', 'bmkg']",siap teknologi nya deteksi colong bmkg bmkg,3
@andreastw3638,ra percoyo.... nga da videonya hoax.... 😂,ra percoyo nga da videonya hoax,engga percoyo nga da videonya isu bohong,engga percoyo nga da videonya isu bohong,"['engga', 'percoyo', 'nga', 'da', 'videonya', 'isu', 'bohong']","['engga', 'percoyo', 'nga', 'videonya', 'isu', 'bohong']",engga percoyo nga video isu bohong,1
@zainabmattri7137,"Kalo gempa memang musibah dari alloh,tapi kalo covid bikinan pemerintahan",kalo gempa memang musibah dari allohtapi kalo covid bikinan pemerintahan,kalau gempa memang musibah dari allohtapi kalau covid bikinan pemerintahan,gempa musibah allohtapi covid bikinan pemerintahan,"['gempa', 'musibah', 'allohtapi', 'covid', 'bikinan', 'pemerintahan']","['gempa', 'musibah', 'allohtapi', 'bikinan', 'pemerintahan']",gempa musibah allohtapi bikin perintah,1
@blueeday4800,Apakah beneran akan terjadi pulau Jawa terbelah menjadi 2,apakah beneran akan terjadi pulau jawa terbelah menjadi 2,apakah beneran akan terjadi pulau jawa terbelah menjadi 2,beneran pulau jawa terbelah 2,"['beneran', 'pulau', 'jawa', 'terbelah', '2']","['beneran', 'pulau', 'jawa', 'terbelah', '2']",beneran pulau jawa belah 2,2
@user-jh5bk6sw9u,"kota remaja gada yg perawan, tempat dosa semua",kota remaja gada yg perawan tempat dosa semua,kota remaja gada yang perawan tempat dosa semua,kota remaja gada perawan dosa,"['kota', 'remaja', 'gada', 'perawan', 'dosa']","['kota', 'remaja', 'gada', 'perawan']",kota remaja gada perawan,1
@user-jh5bk6sw9u,wkkwkw banyak tempat dugem sih jadi takut mati.,wkkwkw banyak tempat dugem sih jadi takut mati,wkkwkw banyak tempat dunia gemerlap sih jadi takut mati,wkkwkw dunia gemerlap sih takut mati,"['wkkwkw', 'dunia', 'gemerlap', 'sih', 'takut', 'mati']","['wkkwkw', 'dunia', 'gemerlap', 'sih', 'takut', 'mati']",wkkwkw dunia gemerlap sih takut mati,1
@GamingTv-uu5mj,"Hari ini tanggal 04-02-2022 gempa terjadi lagi,semoga kita semua baik baik saja... Aamiin.....",hari ini tanggal 04022022 gempa terjadi lagisemoga kita semua baik baik saja aamiin,hari ini tanggal 04022022 gempa terjadi lagisemoga kita semua baik baik saja amin,tanggal 04022022 gempa lagisemoga amin,"['tanggal', '04022022', 'gempa', 'lagisemoga', 'amin']","['tanggal', '04022022', 'gempa', 'lagisemoga']",tanggal 04022022 gempa lagisemoga,3
@muliyana6448,"Bmkg tau akan ada gempa megatrush seharusnya pemerintah prepare dong agar supaya bisa meminimalisir kerusakan ataupun korban, klo warga doang d peringatin ya kita bisa apa, hrsnya pemerintah bisa belajar dr jepang krn tau negaranya negara rawan gempa pemerintahnya prepare bgd buat minimalisir kerusakan atau pun korban",bmkg tau akan ada gempa megatrush seharusnya pemerintah prepare dong agar supaya bisa meminimalisir kerusakan ataupun korban klo warga doang d peringatin ya kita bisa apa hrsnya pemerintah bisa belajar dr jepang krn tau negaranya negara rawan gempa pemerintahnya prepare bgd buat minimalisir kerusakan atau pun korban,bmkg tahu akan ada gempa megatrush seharusnya pemerintah prepare dong agar supaya bisa meminimalisir kerusakan ataupun korban kalau warga saja di peringatin iya kita bisa apa hrsnya pemerintah bisa belajar dari jepang karena tahu negaranya negara rawan gempa pemerintahnya prepare banget buat minimalisir kerusakan atau pun korban,bmkg gempa megatrush pemerintah prepare meminimalisir kerusakan korban warga peringatin iya hrsnya pemerintah belajar jepang negaranya negara rawan gempa pemerintahnya prepare banget minimalisir kerusakan korban,"['bmkg', 'gempa', 'megatrush', 'pemerintah', 'prepare', 'meminimalisir', 'kerusakan', 'korban', 'warga', 'peringatin', 'iya', 'hrsnya', 'pemerintah', 'belajar', 'jepang', 'negaranya', 'negara', 'rawan', 'gempa', 'pemerintahnya', 'prepare', 'banget', 'minimalisir', 'kerusakan', 'korban']","['bmkg', 'gempa', 'megatrush', 'pemerintah', 'meminimalisir', 'kerusakan', 'korban', 'warga', 'peringatin', 'iya', 'hrsnya', 'pemerintah', 'belajar', 'jepang', 'negaranya', 'negara', 'rawan', 'gempa', 'pemerintahnya', 'banget', 'minimalisir', 'kerusakan', 'korban']",bmkg gempa megatrush perintah meminimalisir rusa korban warga peringatin iya hrsnya perintah ajar jepang negara negara rawan gempa perintah banget minimalisir rusa korban,1
@daffanzhidan,Penyebab gempa = banyak orang buat dosa,penyebab gempa banyak orang buat dosa,penyebab gempa banyak orang buat dosa,penyebab gempa orang dosa,"['penyebab', 'gempa', 'orang', 'dosa']","['penyebab', 'gempa']",sebab gempa,1
@al-tsighanjuury-7113,framing nakutin ala media-media umum ini boleh juga. hati hati laknat Allah untuk kalian. menakuti orang muslim dilaknat Allah.,framing nakutin ala mediamedia umum ini boleh juga hati hati laknat allah untuk kalian menakuti orang muslim dilaknat allah,framing nakutin ala mediamedia umum ini boleh juga hati hati laknat allah untuk kalian menakuti orang muslim dilaknat allah,framing nakutin ala mediamedia hati hati laknat allah menakuti orang muslim dilaknat allah,"['framing', 'nakutin', 'ala', 'mediamedia', 'hati', 'hati', 'laknat', 'allah', 'menakuti', 'orang', 'muslim', 'dilaknat', 'allah']","['nakutin', 'mediamedia', 'hati', 'hati', 'laknat', 'allah', 'menakuti', 'muslim', 'dilaknat', 'allah']",nakutin mediamedia hati hati laknat allah takut muslim laknat allah,1
@Iqertwyegcje,"Blm kelar ngomong ibunya, udh dipotong aja",blm kelar ngomong ibunya udh dipotong aja,belum kelar bicara ibunya sudah dipotong saja,kelar bicara ibunya dipotong,"['kelar', 'bicara', 'ibunya', 'dipotong']","['kelar', 'bicara', 'ibunya', 'dipotong']",kelar bicara ibu potong,1
@yakamuz867,Innalilahi wa innailaihi rojiun,innalilahi wa innailaihi rojiun,innalilahi wa innailaihi rojiun,innalilahi wa innailaihi rojiun,"['innalilahi', 'wa', 'innailaihi', 'rojiun']","['innalilahi', 'innailaihi', 'rojiun']",innalilahi innailaihi rojiun,3
@jablaym4nt4p,Udah pas banget ibukota di Pindah.,udah pas banget ibukota di pindah,sudah pas banget ibukota di pindah,pas banget ibukota pindah,"['pas', 'banget', 'ibukota', 'pindah']","['pas', 'banget', 'ibukota', 'pindah']",pas banget ibukota pindah,3
@zhafiranisha,Ini nama penyiar nya siapa😭,ini nama penyiar nya siapa,ini nama penyiar nya siapa,nama penyiar nya,"['nama', 'penyiar', 'nya']","['nama', 'penyiar', 'nya']",nama siar nya,2
@syamsiahsag3415,"Sdh saatnya kt bertobat, krn.. Tdk satupun kerusakan dimuka bumi ini kec krn ulah manusia. (peringatan Allah dlm al quran) ..",sdh saatnya kt bertobat krn tdk satupun kerusakan dimuka bumi ini kec krn ulah manusia peringatan allah dlm al quran,sudah saatnya kita bertobat karena tidak satupun kerusakan dimuka bumi ini kecamatan karena ulah manusia peringatan allah dalam al quran,bertobat satupun kerusakan dimuka bumi kecamatan ulah manusia peringatan allah al quran,"['bertobat', 'satupun', 'kerusakan', 'dimuka', 'bumi', 'kecamatan', 'ulah', 'manusia', 'peringatan', 'allah', 'al', 'quran']","['bertobat', 'satupun', 'kerusakan', 'dimuka', 'bumi', 'kecamatan', 'ulah', 'manusia', 'peringatan', 'allah', 'quran']",tobat satu rusa muka bumi camat ulah manusia ingat allah quran,3
@maksemi5022,Hoaxxx,hoaxxx,hoaxxx,hoaxxx,['hoaxxx'],['hoaxxx'],hoaxxx,1
@alanbaelach7473,Mungkin ini balsan nya karna ppkm di saat umat islam mau ngerayain idul fitr/adha makanya terjadi bencana,mungkin ini balsan nya karna ppkm di saat umat islam mau ngerayain idul fitradha makanya terjadi bencana,mungkin ini balsan nya karena ppkm di saat umat islam mau ngerayain idul fitradha makanya terjadi bencana,balsan nya ppkm umat islam ngerayain idul fitradha bencana,"['balsan', 'nya', 'ppkm', 'umat', 'islam', 'ngerayain', 'idul', 'fitradha', 'bencana']","['balsan', 'nya', 'ppkm', 'umat', 'islam', 'ngerayain', 'idul', 'fitradha', 'bencana']",balsan nya ppkm umat islam ngerayain idul fitradha bencana,1
@gembulxd8929,Cot,cot,cot,cot,['cot'],[],,1
@herusetiawan5949,"Yg jls siap2 menghadapi Kiamat kecil,dipulau Jawa dan Lampung,walaupun kita tak tau kapan terjadinya,,",yg jls siap2 menghadapi kiamat kecildipulau jawa dan lampungwalaupun kita tak tau kapan terjadinya,yang jls siap-siap menghadapi kiamat kecildipulau jawa dan lampungwalaupun kita tidak tahu kapan terjadinya,jls siap-siap menghadapi kiamat kecildipulau jawa lampungwalaupun,"['jls', 'siap-siap', 'menghadapi', 'kiamat', 'kecildipulau', 'jawa', 'lampungwalaupun']","['jls', 'siap-siap', 'menghadapi', 'kiamat', 'kecildipulau', 'jawa', 'lampungwalaupun']",jls siap hadap kiamat kecildipulau jawa lampungwalaupun,3
@goatmilenium2097,"mana gempa, tak ada",mana gempa tak ada,mana gempa tidak ada,gempa,['gempa'],['gempa'],gempa,1
